iter	Logloss
0	0.6599012721
1	0.647021271
2	0.6321190824
3	0.6102804296
4	0.5985474159
5	0.5877148549
6	0.5696030348
7	0.5636422847
8	0.5555963235
9	0.5479764113
10	0.5408904575
11	0.5335238947
12	0.5252053818
13	0.5198789915
14	0.5123940106
15	0.5040749563
16	0.4959033146
17	0.4884680195
18	0.4827117798
19	0.4721949608
20	0.4598217615
21	0.4563922166
22	0.4431200999
23	0.4312377876
24	0.4218436971
25	0.4140241869
26	0.4121131277
27	0.3965149553
28	0.3849682014
29	0.3832312383
30	0.372689394
31	0.3607778543
32	0.3557861885
33	0.3448802066
34	0.34105776
